symbol,timestamp,direction,fill_price,sl_price,tp_price,exit_price,outcome,pnl_pct
SPY,2026-02-27 15:03:00+00:00,long,684.2219,680.8008,691.0642,686.04,timeout,0.2657
SPY,2026-02-27 15:18:00+00:00,long,684.1219,680.7013,690.9631,686.04,timeout,0.2804
SPY,2026-03-02 15:22:00+00:00,long,683.9918,680.5719,690.8318,686.04,timeout,0.2994
SPY,2026-03-02 19:11:00+00:00,long,687.1034,683.6679,693.9744,683.6679,stop_loss,-0.5
SPY,2026-03-03 14:39:00+00:00,long,676.1179,672.7373,682.8791,672.7373,stop_loss,-0.5
SPY,2026-03-03 15:33:00+00:00,long,671.3355,667.9788,678.0489,678.0489,take_profit,1.0
SPY,2026-03-03 15:48:00+00:00,long,671.5656,668.2078,678.2813,678.2813,take_profit,1.0
SPY,2026-03-03 16:38:00+00:00,long,676.2179,672.8369,682.9801,686.04,timeout,1.4525
SPY,2026-03-03 17:01:00+00:00,long,677.3985,674.0115,684.1725,686.04,timeout,1.2757
SPY,2026-03-03 17:46:00+00:00,long,678.0889,674.6984,684.8698,684.8698,take_profit,1.0
SPY,2026-03-03 18:03:00+00:00,long,678.6992,675.3057,685.4862,685.4862,take_profit,1.0
SPY,2026-03-03 19:39:00+00:00,long,681.3505,677.9438,688.164,686.04,timeout,0.6883
SPY,2026-03-03 19:54:00+00:00,long,681.7707,678.3619,688.5884,686.04,timeout,0.6262
SPY,2026-03-04 15:02:00+00:00,long,682.416,679.004,689.2402,686.04,timeout,0.531
SPY,2026-03-04 16:38:00+00:00,long,685.8028,682.3737,692.6608,686.04,timeout,0.0346
SPY,2026-03-05 14:31:00+00:00,short,682.6685,686.0818,675.8418,677.02,timeout,0.8274
SPY,2026-03-05 14:47:00+00:00,short,682.9683,686.3832,676.1387,676.1387,take_profit,1.0
SPY,2026-03-05 15:09:00+00:00,short,683.1883,686.6042,676.3564,676.3564,take_profit,1.0
SPY,2026-03-05 15:26:00+00:00,short,680.6495,684.0527,673.843,677.02,timeout,0.5332
SPY,2026-03-05 15:41:00+00:00,short,681.2492,684.6555,674.4367,677.02,timeout,0.6208
SPY,2026-03-05 16:13:00+00:00,short,679.8649,683.2642,673.0663,677.02,timeout,0.4185
SPY,2026-03-05 17:12:00+00:00,short,680.6295,684.0326,673.8232,677.02,timeout,0.5303
SPY,2026-03-05 17:33:00+00:00,short,677.0713,680.4566,670.3006,677.02,timeout,0.0076
SPY,2026-03-05 17:56:00+00:00,short,676.1248,679.5054,669.3635,677.02,timeout,-0.1324
SPY,2026-03-05 19:28:00+00:00,short,676.1918,679.5727,669.4298,677.02,timeout,-0.1225
SPY,2026-03-05 19:43:00+00:00,short,676.4216,679.8037,669.6574,677.02,timeout,-0.0885
QQQ,2026-02-27 14:50:00+00:00,long,605.4626,602.4352,611.5172,611.415,timeout,0.9831
QQQ,2026-02-27 15:18:00+00:00,long,606.0129,602.9828,612.073,611.415,timeout,0.8914
QQQ,2026-02-27 15:33:00+00:00,long,606.8533,603.819,612.9218,611.415,timeout,0.7517
QQQ,2026-02-27 18:32:00+00:00,long,605.3025,602.276,611.3555,602.276,stop_loss,-0.5
QQQ,2026-02-27 18:50:00+00:00,long,605.1724,602.1466,611.2242,602.1466,stop_loss,-0.5
QQQ,2026-03-02 14:39:00+00:00,long,603.0814,600.066,609.1122,609.1122,take_profit,1.0
QQQ,2026-03-02 15:58:00+00:00,long,605.9878,602.9579,612.0477,611.415,timeout,0.8956
QQQ,2026-03-02 16:20:00+00:00,long,606.0029,602.9728,612.0629,611.415,timeout,0.8931
QQQ,2026-03-02 17:18:00+00:00,long,609.0844,606.039,615.1753,606.039,stop_loss,-0.5
QQQ,2026-03-02 17:33:00+00:00,long,608.7592,605.7154,614.8468,605.7154,stop_loss,-0.5
QQQ,2026-03-02 19:11:00+00:00,long,608.9443,605.8996,615.0338,605.8996,stop_loss,-0.5
QQQ,2026-03-03 14:39:00+00:00,long,598.0489,595.0586,604.0294,595.0586,stop_loss,-0.5
QQQ,2026-03-03 15:33:00+00:00,long,593.4566,590.4893,599.3911,599.3911,take_profit,1.0
QQQ,2026-03-03 15:49:00+00:00,long,593.7767,590.8078,599.7145,599.7145,take_profit,1.0
QQQ,2026-03-03 16:38:00+00:00,long,598.5191,595.5265,604.5043,611.415,timeout,2.1546
QQQ,2026-03-03 16:59:00+00:00,long,599.8698,596.8704,605.8685,605.8685,take_profit,1.0
QQQ,2026-03-03 17:45:00+00:00,long,600.1699,597.1691,606.1716,606.1716,take_profit,1.0
QQQ,2026-03-03 18:03:00+00:00,long,600.0999,597.0994,606.1009,606.1009,take_profit,1.0
QQQ,2026-03-03 19:39:00+00:00,long,602.6512,599.6379,608.6777,608.6777,take_profit,1.0
QQQ,2026-03-03 19:54:00+00:00,long,602.8313,599.8171,608.8596,608.8596,take_profit,1.0
QQQ,2026-03-04 14:38:00+00:00,long,605.1624,602.1366,611.214,611.214,take_profit,1.0
QQQ,2026-03-04 14:54:00+00:00,long,606.303,603.2715,612.366,611.415,timeout,0.8431
QQQ,2026-03-04 15:11:00+00:00,long,607.6987,604.6602,613.7757,611.415,timeout,0.6115
QQQ,2026-03-04 15:34:00+00:00,long,610.6652,607.6118,616.7718,611.415,timeout,0.1228
QQQ,2026-03-04 15:49:00+00:00,long,609.4045,606.3575,615.4986,611.415,timeout,0.3299
QQQ,2026-03-04 16:12:00+00:00,long,609.6347,606.5865,615.731,611.415,timeout,0.292
QQQ,2026-03-05 14:32:00+00:00,short,609.0254,612.0705,602.9351,612.0705,stop_loss,-0.5
QQQ,2026-03-05 14:47:00+00:00,short,609.8549,612.9042,603.7563,603.7563,take_profit,1.0
QQQ,2026-03-05 15:33:00+00:00,short,606.8464,609.8807,600.778,609.8807,stop_loss,-0.5
QQQ,2026-03-05 16:13:00+00:00,short,607.5661,610.6039,601.4904,610.6039,stop_loss,-0.5
QQQ,2026-03-05 17:06:00+00:00,long,610.2149,607.1639,616.3171,607.1639,stop_loss,-0.5
QQQ,2026-03-05 17:33:00+00:00,short,604.4063,607.4283,598.3622,604.18,timeout,0.0374
QQQ,2026-03-05 18:07:00+00:00,short,604.2877,607.3092,598.2449,604.18,timeout,0.0178
QQQ,2026-03-05 18:22:00+00:00,short,603.7157,606.7343,597.6785,604.18,timeout,-0.0769
QQQ,2026-03-05 18:37:00+00:00,short,602.8784,605.8928,596.8496,604.18,timeout,-0.2159
QQQ,2026-03-05 19:28:00+00:00,short,603.2183,606.2344,597.1861,604.18,timeout,-0.1594
QQQ,2026-03-05 19:43:00+00:00,short,603.4681,606.4855,597.4335,604.18,timeout,-0.118
